source_id,source_name,category,website,extraction_method,scraper_class,rate_limit_seconds,auth_env_var,fields_extracted,description,asset
theblock_btc_eth_volume_7dma,The Block,Cryptocurrency,https://www.theblock.co,API JSON,TheBlockScraper,2,,"BTC/ETH Total Exchange Volume (7DMA), Monthly spot volume, Exchange-specific volumes (Binance/Bybit/Bitget), BTC/ETH/SOL volumes, DEX monthly volume",7-day smoothed trading volume across centralized and decentralized exchanges; measures market liquidity and trading activity trends without daily noise,both
theblock_exchange_volume,The Block,Cryptocurrency,https://www.theblock.co,API JSON,TheBlockScraper,2,,"BTC/ETH Total Exchange Volume (7DMA), Monthly spot volume, Exchange-specific volumes (Binance/Bybit/Bitget), BTC/ETH/SOL volumes, DEX monthly volume",Total dollar value of crypto traded on exchanges; indicates overall market participation and liquidity conditions,both
coingecko_exchange_volume,CoinGecko,Cryptocurrency,https://api.coingecko.com,API JSON,CoinGeckoScraper,1,COINGECKO_API_KEY,"24-hour trading volume, Historical price data (30 days), Market caps, Total volumes",24-hour trading activity and total market valuation of cryptocurrencies; measures short-term market activity and relative asset sizes,general
coingecko_btc_market_chart,CoinGecko,Cryptocurrency,https://api.coingecko.com,API JSON,CoinGeckoScraper,1,COINGECKO_API_KEY,"24-hour trading volume, Historical price data (30 days), Market caps, Total volumes",Historical BTC price and volume over 30 days; shows price trends and how trading activity correlates with price movements,bitcoin
coinglass_btc_overview,CoinGlass,Cryptocurrency,https://www.coinglass.com,Browser DOM,CoinGlassScraper,5,,"BTC Price, Futures Volume (24h), Spot Volume (24h), Open Interest, Net Inflow (5min/1h/4h/12h/24h), Volatility (BTC/ETH/SOL/XRP/DOGE), Futures OI (All/CME/Binance), Options Calls/Puts OI, Liquidations (Total/Long/Short/BTC/ETH)",Comprehensive BTC derivatives snapshot including open interest (total outstanding futures contracts) and options positioning; reveals institutional sentiment and leverage in the market,bitcoin
coinglass_spot_flows,CoinGlass,Cryptocurrency,https://www.coinglass.com,Browser DOM,CoinGlassScraper,5,,"BTC Price, Futures Volume (24h), Spot Volume (24h), Open Interest, Net Inflow (5min/1h/4h/12h/24h), Volatility (BTC/ETH/SOL/XRP/DOGE), Futures OI (All/CME/Binance), Options Calls/Puts OI, Liquidations (Total/Long/Short/BTC/ETH)",Net capital movement into/out of spot exchanges over various timeframes; positive inflows suggest accumulation while outflows suggest distribution or self-custody,general
coinglass_volatility,CoinGlass,Cryptocurrency,https://www.coinglass.com,Browser DOM,CoinGlassScraper,5,,"BTC Price, Futures Volume (24h), Spot Volume (24h), Open Interest, Net Inflow (5min/1h/4h/12h/24h), Volatility (BTC/ETH/SOL/XRP/DOGE), Futures OI (All/CME/Binance), Options Calls/Puts OI, Liquidations (Total/Long/Short/BTC/ETH)",Price volatility (standard deviation of returns) for major cryptocurrencies; measures market uncertainty and risk levels,general
bitcoin_com_derivatives_snapshot,CoinGlass,Cryptocurrency,https://www.coinglass.com,Browser DOM,CoinGlassScraper,5,,"BTC Price, Futures Volume (24h), Spot Volume (24h), Open Interest, Net Inflow (5min/1h/4h/12h/24h), Volatility (BTC/ETH/SOL/XRP/DOGE), Futures OI (All/CME/Binance), Options Calls/Puts OI, Liquidations (Total/Long/Short/BTC/ETH)",Derivatives market structure showing futures/options positioning; high open interest indicates strong conviction while options skew shows directional bias,bitcoin
invezz_liquidations,CoinGlass,Cryptocurrency,https://www.coinglass.com,Browser DOM,CoinGlassScraper,5,,"BTC Price, Futures Volume (24h), Spot Volume (24h), Open Interest, Net Inflow (5min/1h/4h/12h/24h), Volatility (BTC/ETH/SOL/XRP/DOGE), Futures OI (All/CME/Binance), Options Calls/Puts OI, Liquidations (Total/Long/Short/BTC/ETH)",Forced closures of leveraged positions when margin requirements aren't met; high liquidations indicate overleveraged market and can cause cascading price moves,general
cryptocompare_exchange_volume,CryptoCompare (Deprecated),Cryptocurrency,https://min-api.cryptocompare.com,API JSON,CryptoCompareScraper,0.5,,"Daily exchange volume (historical), Volume and price data",Historical daily trading volume across exchanges; useful for backtesting and analyzing past market conditions,general
dune_eth_staking_total_deposited,Dune Analytics,Blockchain,https://dune.com,API JSON,DuneScraper,2,DUNE_API_KEY,"Total ETH Deposited, Total Validators, Distinct Depositor Addresses",Total ETH locked in proof-of-stake consensus; indicates network security commitment and reduces circulating supply,ethereum
